N,topology,edges,degree,encoding,bytes_per_record,bcast_kbps,unicast_kbps,per_vehicle_rx_Bps
3,ring C(1),3,2.0,Free-form NL (LLM prose),649,15.576,31.152,1298.0
3,ring C(1),3,2.0,Free-form NL + zlib,383,9.192,18.384,766.0
3,ring C(1),3,2.0,Terse NL (one line),171,4.104,8.208,342.0
3,ring C(1),3,2.0,Verbose JSON (descriptive keys),499,11.976,23.952,998.0
3,ring C(1),3,2.0,"Compact JSON (short keys, ints)",92,2.208,4.416,184.0
3,ring C(1),3,2.0,MessagePack (compact dict),44,1.056,2.112,88.0
3,ring C(1),3,2.0,CBOR (compact dict),47,1.128,2.256,94.0
3,ring C(1),3,2.0,PACT-style bit-packed (proposed),9,0.216,0.432,18.0
3,"circulant C(1,2)",3,2.0,Free-form NL (LLM prose),649,15.576,31.152,1298.0
3,"circulant C(1,2)",3,2.0,Free-form NL + zlib,383,9.192,18.384,766.0
3,"circulant C(1,2)",3,2.0,Terse NL (one line),171,4.104,8.208,342.0
3,"circulant C(1,2)",3,2.0,Verbose JSON (descriptive keys),499,11.976,23.952,998.0
3,"circulant C(1,2)",3,2.0,"Compact JSON (short keys, ints)",92,2.208,4.416,184.0
3,"circulant C(1,2)",3,2.0,MessagePack (compact dict),44,1.056,2.112,88.0
3,"circulant C(1,2)",3,2.0,CBOR (compact dict),47,1.128,2.256,94.0
3,"circulant C(1,2)",3,2.0,PACT-style bit-packed (proposed),9,0.216,0.432,18.0
3,complete K_N,3,2.0,Free-form NL (LLM prose),649,15.576,31.152,1298.0
3,complete K_N,3,2.0,Free-form NL + zlib,383,9.192,18.384,766.0
3,complete K_N,3,2.0,Terse NL (one line),171,4.104,8.208,342.0
3,complete K_N,3,2.0,Verbose JSON (descriptive keys),499,11.976,23.952,998.0
3,complete K_N,3,2.0,"Compact JSON (short keys, ints)",92,2.208,4.416,184.0
3,complete K_N,3,2.0,MessagePack (compact dict),44,1.056,2.112,88.0
3,complete K_N,3,2.0,CBOR (compact dict),47,1.128,2.256,94.0
3,complete K_N,3,2.0,PACT-style bit-packed (proposed),9,0.216,0.432,18.0
4,ring C(1),4,2.0,Free-form NL (LLM prose),649,20.768,41.536,1298.0
4,ring C(1),4,2.0,Free-form NL + zlib,383,12.256,24.512,766.0
4,ring C(1),4,2.0,Terse NL (one line),171,5.472,10.944,342.0
4,ring C(1),4,2.0,Verbose JSON (descriptive keys),499,15.968,31.936,998.0
4,ring C(1),4,2.0,"Compact JSON (short keys, ints)",92,2.944,5.888,184.0
4,ring C(1),4,2.0,MessagePack (compact dict),44,1.408,2.816,88.0
4,ring C(1),4,2.0,CBOR (compact dict),47,1.504,3.008,94.0
4,ring C(1),4,2.0,PACT-style bit-packed (proposed),9,0.288,0.576,18.0
4,"circulant C(1,2)",6,3.0,Free-form NL (LLM prose),649,20.768,62.304,1947.0
4,"circulant C(1,2)",6,3.0,Free-form NL + zlib,383,12.256,36.768,1149.0
4,"circulant C(1,2)",6,3.0,Terse NL (one line),171,5.472,16.416,513.0
4,"circulant C(1,2)",6,3.0,Verbose JSON (descriptive keys),499,15.968,47.904,1497.0
4,"circulant C(1,2)",6,3.0,"Compact JSON (short keys, ints)",92,2.944,8.832,276.0
4,"circulant C(1,2)",6,3.0,MessagePack (compact dict),44,1.408,4.224,132.0
4,"circulant C(1,2)",6,3.0,CBOR (compact dict),47,1.504,4.512,141.0
4,"circulant C(1,2)",6,3.0,PACT-style bit-packed (proposed),9,0.288,0.864,27.0
4,complete K_N,6,3.0,Free-form NL (LLM prose),649,20.768,62.304,1947.0
4,complete K_N,6,3.0,Free-form NL + zlib,383,12.256,36.768,1149.0
4,complete K_N,6,3.0,Terse NL (one line),171,5.472,16.416,513.0
4,complete K_N,6,3.0,Verbose JSON (descriptive keys),499,15.968,47.904,1497.0
4,complete K_N,6,3.0,"Compact JSON (short keys, ints)",92,2.944,8.832,276.0
4,complete K_N,6,3.0,MessagePack (compact dict),44,1.408,4.224,132.0
4,complete K_N,6,3.0,CBOR (compact dict),47,1.504,4.512,141.0
4,complete K_N,6,3.0,PACT-style bit-packed (proposed),9,0.288,0.864,27.0
5,ring C(1),5,2.0,Free-form NL (LLM prose),649,25.96,51.92,1298.0
5,ring C(1),5,2.0,Free-form NL + zlib,383,15.32,30.64,766.0
5,ring C(1),5,2.0,Terse NL (one line),171,6.84,13.68,342.0
5,ring C(1),5,2.0,Verbose JSON (descriptive keys),499,19.96,39.92,998.0
5,ring C(1),5,2.0,"Compact JSON (short keys, ints)",92,3.68,7.36,184.0
5,ring C(1),5,2.0,MessagePack (compact dict),44,1.76,3.52,88.0
5,ring C(1),5,2.0,CBOR (compact dict),47,1.88,3.76,94.0
5,ring C(1),5,2.0,PACT-style bit-packed (proposed),9,0.36,0.72,18.0
5,"circulant C(1,2)",10,4.0,Free-form NL (LLM prose),649,25.96,103.84,2596.0
5,"circulant C(1,2)",10,4.0,Free-form NL + zlib,383,15.32,61.28,1532.0
5,"circulant C(1,2)",10,4.0,Terse NL (one line),171,6.84,27.36,684.0
5,"circulant C(1,2)",10,4.0,Verbose JSON (descriptive keys),499,19.96,79.84,1996.0
5,"circulant C(1,2)",10,4.0,"Compact JSON (short keys, ints)",92,3.68,14.72,368.0
5,"circulant C(1,2)",10,4.0,MessagePack (compact dict),44,1.76,7.04,176.0
5,"circulant C(1,2)",10,4.0,CBOR (compact dict),47,1.88,7.52,188.0
5,"circulant C(1,2)",10,4.0,PACT-style bit-packed (proposed),9,0.36,1.44,36.0
5,complete K_N,10,4.0,Free-form NL (LLM prose),649,25.96,103.84,2596.0
5,complete K_N,10,4.0,Free-form NL + zlib,383,15.32,61.28,1532.0
5,complete K_N,10,4.0,Terse NL (one line),171,6.84,27.36,684.0
5,complete K_N,10,4.0,Verbose JSON (descriptive keys),499,19.96,79.84,1996.0
5,complete K_N,10,4.0,"Compact JSON (short keys, ints)",92,3.68,14.72,368.0
5,complete K_N,10,4.0,MessagePack (compact dict),44,1.76,7.04,176.0
5,complete K_N,10,4.0,CBOR (compact dict),47,1.88,7.52,188.0
5,complete K_N,10,4.0,PACT-style bit-packed (proposed),9,0.36,1.44,36.0
6,ring C(1),6,2.0,Free-form NL (LLM prose),649,31.152,62.304,1298.0
6,ring C(1),6,2.0,Free-form NL + zlib,383,18.384,36.768,766.0
6,ring C(1),6,2.0,Terse NL (one line),171,8.208,16.416,342.0
6,ring C(1),6,2.0,Verbose JSON (descriptive keys),499,23.952,47.904,998.0
6,ring C(1),6,2.0,"Compact JSON (short keys, ints)",92,4.416,8.832,184.0
6,ring C(1),6,2.0,MessagePack (compact dict),44,2.112,4.224,88.0
6,ring C(1),6,2.0,CBOR (compact dict),47,2.256,4.512,94.0
6,ring C(1),6,2.0,PACT-style bit-packed (proposed),9,0.432,0.864,18.0
6,"circulant C(1,2)",12,4.0,Free-form NL (LLM prose),649,31.152,124.608,2596.0
6,"circulant C(1,2)",12,4.0,Free-form NL + zlib,383,18.384,73.536,1532.0
6,"circulant C(1,2)",12,4.0,Terse NL (one line),171,8.208,32.832,684.0
6,"circulant C(1,2)",12,4.0,Verbose JSON (descriptive keys),499,23.952,95.808,1996.0
6,"circulant C(1,2)",12,4.0,"Compact JSON (short keys, ints)",92,4.416,17.664,368.0
6,"circulant C(1,2)",12,4.0,MessagePack (compact dict),44,2.112,8.448,176.0
6,"circulant C(1,2)",12,4.0,CBOR (compact dict),47,2.256,9.024,188.0
6,"circulant C(1,2)",12,4.0,PACT-style bit-packed (proposed),9,0.432,1.728,36.0
6,complete K_N,15,5.0,Free-form NL (LLM prose),649,31.152,155.76,3245.0
6,complete K_N,15,5.0,Free-form NL + zlib,383,18.384,91.92,1915.0
6,complete K_N,15,5.0,Terse NL (one line),171,8.208,41.04,855.0
6,complete K_N,15,5.0,Verbose JSON (descriptive keys),499,23.952,119.76,2495.0
6,complete K_N,15,5.0,"Compact JSON (short keys, ints)",92,4.416,22.08,460.0
6,complete K_N,15,5.0,MessagePack (compact dict),44,2.112,10.56,220.0
6,complete K_N,15,5.0,CBOR (compact dict),47,2.256,11.28,235.0
6,complete K_N,15,5.0,PACT-style bit-packed (proposed),9,0.432,2.16,45.0
7,ring C(1),7,2.0,Free-form NL (LLM prose),649,36.344,72.688,1298.0
7,ring C(1),7,2.0,Free-form NL + zlib,383,21.448,42.896,766.0
7,ring C(1),7,2.0,Terse NL (one line),171,9.576,19.152,342.0
7,ring C(1),7,2.0,Verbose JSON (descriptive keys),499,27.944,55.888,998.0
7,ring C(1),7,2.0,"Compact JSON (short keys, ints)",92,5.152,10.304,184.0
7,ring C(1),7,2.0,MessagePack (compact dict),44,2.464,4.928,88.0
7,ring C(1),7,2.0,CBOR (compact dict),47,2.632,5.264,94.0
7,ring C(1),7,2.0,PACT-style bit-packed (proposed),9,0.504,1.008,18.0
7,"circulant C(1,2)",14,4.0,Free-form NL (LLM prose),649,36.344,145.376,2596.0
7,"circulant C(1,2)",14,4.0,Free-form NL + zlib,383,21.448,85.792,1532.0
7,"circulant C(1,2)",14,4.0,Terse NL (one line),171,9.576,38.304,684.0
7,"circulant C(1,2)",14,4.0,Verbose JSON (descriptive keys),499,27.944,111.776,1996.0
7,"circulant C(1,2)",14,4.0,"Compact JSON (short keys, ints)",92,5.152,20.608,368.0
7,"circulant C(1,2)",14,4.0,MessagePack (compact dict),44,2.464,9.856,176.0
7,"circulant C(1,2)",14,4.0,CBOR (compact dict),47,2.632,10.528,188.0
7,"circulant C(1,2)",14,4.0,PACT-style bit-packed (proposed),9,0.504,2.016,36.0
7,complete K_N,21,6.0,Free-form NL (LLM prose),649,36.344,218.064,3894.0
7,complete K_N,21,6.0,Free-form NL + zlib,383,21.448,128.688,2298.0
7,complete K_N,21,6.0,Terse NL (one line),171,9.576,57.456,1026.0
7,complete K_N,21,6.0,Verbose JSON (descriptive keys),499,27.944,167.664,2994.0
7,complete K_N,21,6.0,"Compact JSON (short keys, ints)",92,5.152,30.912,552.0
7,complete K_N,21,6.0,MessagePack (compact dict),44,2.464,14.784,264.0
7,complete K_N,21,6.0,CBOR (compact dict),47,2.632,15.792,282.0
7,complete K_N,21,6.0,PACT-style bit-packed (proposed),9,0.504,3.024,54.0
