N,arm,reached,steps_to_50%,progress,final_dist_m,comm_quality,min_sep_m,sep_violation_%,disconnected_%,envelope_violations,A0_operator_%,A3_quorum_%,A2_own_%,A1_ctrl_%,brake_%
3,baseline,0.0,,-0.0,195.293,0.407,6.01,0.0,0.0,0.0,,,,,
3,centralised,0.0,704.0,0.567,84.503,0.144,5.137,0.0,96.973,8.0,58.077,0.0,0.0,0.0,0.0
3,centralised_byz,0.0,330.0,0.68,62.283,0.116,5.929,0.0,96.277,6.0,58.87,0.0,0.0,0.0,0.0
3,clear_baseline,3.0,321.0,0.986,2.803,0.999,0.218,0.0,0.0,0.0,,,,,
3,distributed,0.0,187.667,0.952,9.37,0.795,0.917,0.0,31.61,30.0,27.877,0.0,49.667,0.193,22.257
5,baseline,0.0,,-0.0,195.26,0.341,1.989,0.0,0.0,0.0,,,,,
5,centralised,0.0,946.667,0.597,78.64,0.264,1.364,0.0,95.36,13.0,62.993,0.0,0.0,0.0,0.0
5,centralised_byz,0.0,1051.0,0.508,95.89,0.198,1.737,0.0,95.303,9.0,69.293,0.0,0.0,0.0,0.0
5,clear_baseline,3.0,321.0,0.985,2.897,0.998,0.274,0.0,0.0,0.0,,,,,
5,distributed,0.0,219.0,0.635,71.29,0.775,0.995,0.0,54.527,202.0,37.82,1.493,42.88,0.683,17.127
7,baseline,0.0,,-0.0,195.257,0.296,1.969,0.0,0.0,0.0,,,,,
7,centralised,0.0,957.0,0.659,66.567,0.451,0.021,1.417,92.163,142.0,60.357,0.0,0.0,0.0,0.0
7,centralised_byz,0.0,939.0,0.452,106.907,0.541,1.24,0.0,94.333,39.0,58.377,0.0,0.0,0.0,0.0
7,clear_baseline,3.0,323.0,0.986,2.783,0.997,0.232,0.0,0.0,0.0,,,,,
7,distributed,0.0,358.0,0.597,78.697,0.686,0.445,0.0,61.14,1164.0,50.93,7.317,34.257,0.62,6.883
