N,seed,arm,reached,s50,s90,prog,final_m,comm,Jn,min_sep,sep_viol,discon,a3,a2,a0,a1,brake,central,quorum,unsafe_true,unsafe_rate,rx,tx
3,0,clear_baseline,True,319.0,555.0,0.9858,2.78,0.999,0.999,0.268,0.0,0.0,,,,,,,,,,,
3,0,baseline,False,,,-0.0004,195.28,0.409,0.0,6.01,0.0,0.0,,,,,,,,,,,
3,0,distributed,False,179.0,505.0,0.9534,9.09,0.792,0.748,0.958,0.0,0.3075,0.0,0.4964,0.2269,0.0019,0.2747,0.0,0.0,10.0,0.0028,5384.0,3600.0
3,0,centralised,False,460.0,,0.5934,79.29,0.12,0.0,5.137,0.0,0.97,0.0,0.0,0.5964,0.0,0.0,0.4036,0.0,2.0,0.0006,881.0,3600.0
3,0,centralised_byz,False,339.0,,0.6687,64.55,0.12,0.0,6.0,0.0,0.9625,0.0,0.0,0.5925,0.0,0.0,0.4075,0.0,2.0,0.0006,863.0,3600.0
3,1,clear_baseline,True,322.0,562.0,0.9856,2.82,0.999,0.999,0.225,0.0,0.0,,,,,,,,,,,
3,1,baseline,False,,,-0.0004,195.3,0.405,0.0,6.01,0.0,0.0,,,,,,,,,,,
3,1,distributed,False,193.0,563.0,0.9513,9.5,0.797,0.768,0.917,0.0,0.3158,0.0,0.4967,0.3008,0.0031,0.1994,0.0,0.0,19.0,0.0053,5373.0,3600.0
3,1,centralised,False,675.0,,0.5901,79.85,0.15,0.0,5.934,0.0,0.9717,0.0,0.0,0.5756,0.0,0.0,0.4244,0.0,4.0,0.0011,1094.0,3600.0
3,1,centralised_byz,False,311.0,,0.6925,59.9,0.104,0.0,6.0,0.0,0.9575,0.0,0.0,0.5878,0.0,0.0,0.4122,0.0,3.0,0.0008,756.0,3600.0
3,2,clear_baseline,True,322.0,562.0,0.9856,2.81,0.999,0.999,0.218,0.0,0.0,,,,,,,,,,,
3,2,baseline,False,,,-0.0004,195.3,0.407,0.0,6.01,0.0,0.0,,,,,,,,,,,
