i,sev,parsed,intent_ok,auth_ok,bearing_err_u,speed_err,bearing_err_deg
2307,0.0005380790966476034,True,False,False,36.0,0.012903225806451646,25.3125
1909,0.005860902480939512,True,True,True,120.0,0.012903225806451646,84.375
2845,0.006764533287733521,True,True,True,42.0,0.012903225806451646,29.53125
5505,0.0004731239396481568,True,True,True,11.0,0.012903225806451646,7.734375
4329,0.0016031860861925873,True,True,True,2.0,0.012903225806451646,1.40625
4183,0.00023479441049178984,True,True,True,56.0,0.012903225806451646,39.375
2313,0.0190652137834032,True,True,True,33.0,0.012903225806451646,23.203125
5977,0.015142235060815912,True,False,False,98.0,0.012903225806451646,68.90625
5639,0.006009448959255259,True,True,True,1.0,0.012903225806451646,0.703125
5569,0.012641838103223613,True,True,True,1.0,0.012903225806451646,0.703125
5580,1.5127668315795262e-05,True,True,True,5.0,0.012903225806451646,3.515625
3314,0.0007487223430325818,True,True,True,8.0,0.012903225806451646,5.625
1981,0.20705853863842305,True,True,True,113.0,0.012903225806451646,79.453125
1908,0.19384084038356975,True,True,True,112.0,0.012903225806451646,78.75
1894,0.34884031962358075,True,True,True,111.0,0.012903225806451646,78.046875
2106,0.1673726495227975,True,True,True,132.0,0.012903225806451646,92.8125
5372,0.3309838407125365,True,False,False,29.0,0.012903225806451646,20.390625
1993,0.1896807875603037,True,True,True,198.0,0.012903225806451646,139.21875
1875,0.2506494615794339,True,True,True,110.0,0.012903225806451646,77.34375
2036,0.16603070034838951,True,True,True,115.0,0.012903225806451646,80.859375
5997,0.2239587581102116,True,False,False,16.0,0.012903225806451646,11.25
4252,0.30357579626023634,True,False,False,19.0,0.012903225806451646,13.359375
1858,0.26989814184912264,True,True,True,68.0,0.012903225806451646,47.8125
5742,0.27605344738678383,True,False,False,15.0,0.012903225806451646,10.546875
36,0.4979599150927191,True,True,True,18.0,0.006451612903225712,12.65625
1204,0.5288944981766607,True,True,True,167.0,0.006451612903225712,117.421875
4917,0.3698738774937186,True,True,True,34.0,0.006451612903225712,23.90625
1184,0.5349968198186998,True,True,True,74.0,0.006451612903225712,52.03125
1968,0.3634034613269014,True,True,True,197.0,0.006451612903225712,138.515625
60,0.5243055504121228,True,True,True,8.0,0.006451612903225712,5.625
1400,0.524425962160282,True,True,True,111.0,0.006451612903225712,78.046875
1459,0.4155410399216034,True,True,True,161.0,0.006451612903225712,113.203125
3782,0.36298642831013106,True,True,True,173.0,0.006451612903225712,121.640625
1708,0.5164906888060565,True,True,True,167.0,0.006451612903225712,117.421875
1525,0.501996698877279,True,True,True,76.0,0.006451612903225712,53.4375
1710,0.45881896458238103,True,True,True,92.0,0.006451612903225712,64.6875
878,0.7051341282055327,True,True,True,149.0,0.006451612903225712,104.765625
591,0.6763313669108619,True,True,True,8.0,0.006451612903225712,5.625
199,0.7279478339166818,True,True,True,0.0,0.006451612903225712,0.0
112,0.6738452824860872,True,True,True,32.0,0.006451612903225712,22.5
653,0.6933305009539575,True,True,True,16.0,0.006451612903225712,11.25
100,0.5926489884952766,True,True,True,0.0,0.006451612903225712,0.0
473,0.637287330501168,False,False,False,,,
676,0.729549091980553,True,True,True,13.0,0.006451612903225712,9.140625
261,0.5807951234291455,True,True,True,1.0,0.006451612903225712,0.703125
1322,0.5979896127330013,True,True,True,111.0,0.006451612903225712,78.046875
673,0.6772644733094871,True,True,True,18.0,0.006451612903225712,12.65625
1320,0.6875777478445092,True,True,True,63.0,0.006451612903225712,44.296875
655,0.8911756754811148,True,True,True,19.0,0.006451612903225712,13.359375
1075,0.7519911708748876,True,True,True,45.0,0.006451612903225712,31.640625
572,0.9458760542398255,True,True,True,22.0,0.006451612903225712,15.46875
602,0.9550905112677559,True,True,True,45.0,0.006451612903225712,31.640625
1003,0.7546308689199361,True,True,True,132.0,0.006451612903225712,92.8125
1190,0.7970021469512766,True,True,True,120.0,0.006451612903225712,84.375
447,0.9520726222486146,True,True,True,51.0,0.006451612903225712,35.859375
750,0.8614526076455155,True,True,True,114.0,0.006451612903225712,80.15625
1481,0.9298342689954533,True,True,True,73.0,0.006451612903225712,51.328125
1396,0.9189697394732729,True,True,True,66.0,0.006451612903225712,46.40625
480,0.8662593507382164,True,True,True,4.0,0.006451612903225712,2.8125
790,0.8680952792427216,True,True,True,171.0,0.006451612903225712,120.234375
