i,sev,parsed,intent_ok,auth_ok,bearing_err_u,bearing_err_deg
2307,0.0005380790966476034,True,False,False,16,11.25
1909,0.005860902480939512,True,True,True,0,0.0
2845,0.006764533287733521,True,True,True,0,0.0
5505,0.0004731239396481568,True,True,True,0,0.0
4329,0.0016031860861925873,True,True,True,0,0.0
4183,0.00023479441049178984,True,True,True,0,0.0
2313,0.0190652137834032,True,True,True,0,0.0
5977,0.015142235060815912,True,False,False,16,11.25
5639,0.006009448959255259,True,True,True,0,0.0
5569,0.012641838103223613,True,True,True,0,0.0
5580,1.5127668315795262e-05,True,True,True,0,0.0
3314,0.0007487223430325818,True,True,True,0,0.0
1981,0.20705853863842305,True,True,True,0,0.0
1908,0.19384084038356975,True,True,True,0,0.0
1894,0.34884031962358075,True,True,True,0,0.0
2106,0.1673726495227975,True,True,True,0,0.0
5372,0.3309838407125365,True,False,False,16,11.25
1993,0.1896807875603037,True,True,True,0,0.0
1875,0.2506494615794339,True,True,True,0,0.0
2036,0.16603070034838951,True,True,True,0,0.0
5997,0.2239587581102116,True,False,False,16,11.25
4252,0.30357579626023634,True,False,False,16,11.25
1858,0.26989814184912264,True,True,True,0,0.0
5742,0.27605344738678383,True,False,False,16,11.25
36,0.4979599150927191,True,True,True,0,0.0
1204,0.5288944981766607,True,True,True,0,0.0
4917,0.3698738774937186,True,True,True,15,10.546875
1184,0.5349968198186998,True,True,True,0,0.0
1968,0.3634034613269014,True,True,True,0,0.0
60,0.5243055504121228,True,True,True,0,0.0
1400,0.524425962160282,True,True,True,0,0.0
1459,0.4155410399216034,True,True,True,0,0.0
3782,0.36298642831013106,True,True,True,16,11.25
1708,0.5164906888060565,True,True,True,1,0.703125
1525,0.501996698877279,True,True,True,0,0.0
1710,0.45881896458238103,True,True,True,0,0.0
878,0.7051341282055327,True,True,True,0,0.0
591,0.6763313669108619,True,True,True,0,0.0
199,0.7279478339166818,True,True,True,0,0.0
112,0.6738452824860872,True,True,True,15,10.546875
653,0.6933305009539575,True,True,True,0,0.0
100,0.5926489884952766,True,True,True,0,0.0
473,0.637287330501168,True,True,True,0,0.0
676,0.729549091980553,True,True,True,0,0.0
261,0.5807951234291455,True,True,True,0,0.0
1322,0.5979896127330013,True,True,True,16,11.25
673,0.6772644733094871,True,True,True,0,0.0
1320,0.6875777478445092,True,True,True,1,0.703125
655,0.8911756754811148,True,True,True,8,5.625
1075,0.7519911708748876,True,True,True,2,1.40625
572,0.9458760542398255,True,True,True,16,11.25
602,0.9550905112677559,True,True,True,16,11.25
1003,0.7546308689199361,True,True,True,2,1.40625
1190,0.7970021469512766,True,True,True,4,2.8125
447,0.9520726222486146,True,True,True,16,11.25
750,0.8614526076455155,True,True,True,5,3.515625
1481,0.9298342689954533,True,True,True,0,0.0
1396,0.9189697394732729,True,True,True,0,0.0
480,0.8662593507382164,True,True,True,5,3.515625
790,0.8680952792427216,True,True,True,7,4.921875
