N,tau_b,quorum_avail,quorum_avail_g1,byz_in_quorum,max_influence_deg,mean_influence_deg,bound_deg,n_quorum,gate_calls,g1_meas_rate
3,4,0.0,0.0,,0.0,0.0,2.81,0,3600,0.4325
3,8,0.0,0.0,,0.0,0.0,5.62,0,3600,0.4325
3,12,0.0,0.0,,0.0,0.0,8.44,0,3600,0.4325
3,16,0.0,0.0,,0.0,0.0,11.25,0,3600,0.4325
3,24,0.0,0.0,,0.0,0.0,16.88,0,3600,0.4325
3,32,0.0,0.0,,0.0,0.0,22.5,0,3600,0.4325
3,48,0.0,0.0,,0.0,0.0,33.75,0,3600,0.4325
5,4,0.0063,0.0,0.0,0.0,0.0,2.81,38,6000,0.68
5,8,0.0092,0.0,0.0,0.0,0.0,5.62,55,6000,0.68
5,12,0.0098,0.0,0.0339,2.109,2.109,8.44,59,6000,0.68
5,16,0.0148,0.0,0.4045,5.625,1.504,11.25,89,6000,0.68
5,24,0.0162,0.0,0.4845,7.031,1.75,16.88,97,6000,0.68
5,32,0.0165,0.0,0.5051,8.438,1.969,22.5,99,6000,0.68
5,48,0.0165,0.0,0.5051,8.438,1.969,33.75,99,6000,0.68
7,4,0.0149,0.0027,0.0,0.0,0.0,2.81,125,8400,0.6758
7,8,0.0285,0.0048,0.0293,3.516,1.708,5.62,239,8400,0.6758
7,12,0.034,0.0058,0.1538,4.922,1.342,8.44,286,8400,0.6758
7,16,0.0388,0.0062,0.3865,9.141,1.496,11.25,326,8400,0.6758
7,24,0.0418,0.0076,0.4644,9.141,1.721,16.88,351,8400,0.6758
7,32,0.0419,0.0076,0.4659,9.141,1.741,22.5,352,8400,0.6758
7,48,0.0419,0.0076,0.4659,9.141,1.741,33.75,352,8400,0.6758
